Identifier,StructureData,Polymer EntityData,
Entity ID,PDB ID,Entity ID,
"7JOD_2","7JOD","2"
"2YC3_1","2YC3","1"
"5UQ6_1","5UQ6","1"
"6GIT_1","6GIT","1"
"4A7U_1","4A7U","1"
"1XMK_1","1XMK","1"
"3A02_1","3A02","1"
"3FGH_1","3FGH","1"
"6YF3_1","6YF3","1"
"4P5N_1","4P5N","1"
"4X33_1","4X33","1"
"4X33_2","4X33","2"
"4XEZ_1","4XEZ","1"
"2IBN_1","2IBN","1"
"7PLP_1","7PLP","1"
"1V6P_1","1V6P","1"
"1W7C_1","1W7C","1"
"5O2X_1","5O2X","1"
"1XGK_1","1XGK","1"
"4CHI_1","4CHI","1"
"4NYH_1","4NYH","1"
"4PKL_1","4PKL","1"
"5EQ7_1","5EQ7","1"
"5NYK_1","5NYK","1"
"5TC6_1","5TC6","1"
"6EKZ_1","6EKZ","1"
"6FGC_1","6FGC","1"
"7OCB_1","7OCB","1"
"8DSC_1","8DSC","1"
"8OW6_1","8OW6","1"
"2W72_1","2W72","1"
"3S4E_1","3S4E","1"
"7ZEH_1","7ZEH","1"
"6H10_1","6H10","1"
"3FMU_1","3FMU","1"
"7COH_1","7COH","1"
"7COH_10","7COH","10"
"7COH_11","7COH","11"
"7COH_12","7COH","12"
"7COH_13","7COH","13"
"7COH_2","7COH","2"
"7COH_3","7COH","3"
"7COH_4","7COH","4"
"7COH_5","7COH","5"
"7COH_6","7COH","6"
"7COH_7","7COH","7"
"7COH_8","7COH","8"
"7COH_9","7COH","9"
"2BRY_1","2BRY","1"
"2BWR_1","2BWR","1"
"2JJU_1","2JJU","1"
"2P9W_1","2P9W","1"
"3BHD_1","3BHD","1"
"3UI4_1","3UI4","1"
"4CK4_1","4CK4","1"
"4IHZ_1","4IHZ","1"
"4Y88_1","4Y88","1"
"5P9V_1","5P9V","1"
"5PAG_1","5PAG","1"
"5ZXE_1","5ZXE","1"
"6HPF_1","6HPF","1"
"6I44_1","6I44","1"
"6VYD_1","6VYD","1"
"6XL7_1","6XL7","1"
"6YK4_1","6YK4","1"
"7LZ2_1","7LZ2","1"
"7NLC_1","7NLC","1"
"7NTO_1","7NTO","1"
"8B2R_1","8B2R","1"
"8B2R_2","8B2R","2"
"8DPV_1","8DPV","1"
"2JHF_1","2JHF","1"
"2X7K_1","2X7K","1"
"3BOE_1","3BOE","1"
"3DZE_1","3DZE","1"
"3X1X_1","3X1X","1"
"4EFP_1","4EFP","1"
"4QQH_1","4QQH","1"
"4V0K_1","4V0K","1"
"8B2E_1","8B2E","1"
"8R8A_1","8R8A","1"
"4HI8_1","4HI8","1"
"4HI8_2","4HI8","2"
"6TC2_1","6TC2","1"
"7FUA_1","7FUA","1"
"1YGE_1","1YGE","1"
"2IUW_1","2IUW","1"
"3MAO_1","3MAO","1"
"3QHB_1","3QHB","1"
"6B8F_1","6B8F","1"
"6N0K_1","6N0K","1"
"6S0P_1","6S0P","1"
"8CI9_1","8CI9","1"
"8CJK_1","8CJK","1"
"8X3H_1","8X3H","1"
"4DP9_1","4DP9","1"
"5VF5_1","5VF5","1"
"6ELS_1","6ELS","1"
"6IQX_1","6IQX","1"
"6JU5_1","6JU5","1"
"6JU8_1","6JU8","1"
"6RI6_1","6RI6","1"
"6XLR_1","6XLR","1"
"6Z5Y_1","6Z5Y","1"
"1B8O_1","1B8O","1"
"1E9G_1","1E9G","1"
"1LC0_1","1LC0","1"
"1NTV_1","1NTV","1"
"1NUY_1","1NUY","1"
"1VKK_1","1VKK","1"
"1YWA_1","1YWA","1"
"2AKZ_1","2AKZ","1"
"2CXN_1","2CXN","1"
"2GTE_1","2GTE","1"
"2HSH_1","2HSH","1"
"2QT1_1","2QT1","1"
"2RBT_1","2RBT","1"
"2VEZ_1","2VEZ","1"
"2YN0_1","2YN0","1"
"2Z8A_1","2Z8A","1"
"3ALF_1","3ALF","1"
"3BER_1","3BER","1"
"3BWH_1","3BWH","1"
"3I33_1","3I33","1"
"3MU7_1","3MU7","1"
"3N3M_1","3N3M","1"
"3SXX_1","3SXX","1"
"3UJ8_1","3UJ8","1"
"3V0D_1","3V0D","1"
"3VEJ_1","3VEJ","1"
"4A6H_1","4A6H","1"
"4AAZ_1","4AAZ","1"
"4B21_1","4B21","1"
"4CZ7_1","4CZ7","1"
"4GY7_1","4GY7","1"
"4H6B_1","4H6B","1"
"4L57_1","4L57","1"
"4PVA_1","4PVA","1"
"4QPT_1","4QPT","1"
"4UYR_1","4UYR","1"
"4XUW_1","4XUW","1"
"4YTD_1","4YTD","1"
"5AFY_3","5AFY","3"
"5C40_1","5C40","1"
"5COY_1","5COY","1"
"5GUI_1","5GUI","1"
"5HWK_1","5HWK","1"
"5IZ3_1","5IZ3","1"
"5LP0_1","5LP0","1"
"5NVG_1","5NVG","1"
"5O6H_1","5O6H","1"
"5OOG_1","5OOG","1"
"5SW0_1","5SW0","1"
"5YBY_1","5YBY","1"
"6AE9_1","6AE9","1"
"6ER1_1","6ER1","1"
"6G3A_1","6G3A","1"
"6KY3_1","6KY3","1"
"6O8V_1","6O8V","1"
"6TQT_1","6TQT","1"
"6VUA_1","6VUA","1"
"6XRU_1","6XRU","1"
"6XRU_2","6XRU","2"
"6XY7_1","6XY7","1"
"6ZEG_1","6ZEG","1"
"6ZEG_2","6ZEG","2"
"7B67_1","7B67","1"
"7RII_1","7RII","1"
"7T9R_1","7T9R","1"
"7W4Z_1","7W4Z","1"
"7W4Z_2","7W4Z","2"
"7ZKF_1","7ZKF","1"
"8AXJ_1","8AXJ","1"
"8BK4_1","8BK4","1"
"8PJ7_1","8PJ7","1"
"8QF4_2","8QF4","2"
"1DG6_1","1DG6","1"
"2RA6_1","2RA6","1"
"2VYO_1","2VYO","1"
"3AKQ_1","3AKQ","1"
"3FED_1","3FED","1"
"3R3Q_1","3R3Q","1"
"3SUJ_1","3SUJ","1"
"3U9W_1","3U9W","1"
"3V4K_1","3V4K","1"
"4L9P_1","4L9P","1"
"4L9P_2","4L9P","2"
"5WGI_1","5WGI","1"
"5XN9_1","5XN9","1"
"6H5W_1","6H5W","1"
"6PJV_1","6PJV","1"
"6SQP_1","6SQP","1"
"6YA6_1","6YA6","1"
"6YA6_2","6YA6","2"
"6YOO_1","6YOO","1"
"1LU0_1","1LU0","1"
"2CB8_1","2CB8","1"
"2FR5_1","2FR5","1"
"2OLM_1","2OLM","1"
"2VH3_1","2VH3","1"
"2XEU_1","2XEU","1"
"3HSV_1","3HSV","1"
"3LQB_1","3LQB","1"
"3ZYQ_1","3ZYQ","1"
"4OJV_1","4OJV","1"
"5NWG_1","5NWG","1"
"5NWG_2","5NWG","2"
"6QPK_1","6QPK","1"
"6R09_1","6R09","1"
"6UWA_1","6UWA","1"
"7CQ3_1","7CQ3","1"
"7CQ3_2","7CQ3","2"
"7DRY_1","7DRY","1"
"7KBG_1","7KBG","1"
"1EAQ_1","1EAQ","1"
"1G4I_1","1G4I","1"
"1HZJ_1","1HZJ","1"
"1K5C_1","1K5C","1"
"1LRI_1","1LRI","1"
"1PFB_1","1PFB","1"
"1R6J_1","1R6J","1"
"1SEN_1","1SEN","1"
"1SO7_1","1SO7","1"
"1T60_1","1T60","1"
"1XG0_1","1XG0","1"
"1XG0_2","1XG0","2"
"1XG0_3","1XG0","3"
"1Z2U_1","1Z2U","1"
"1Z70_1","1Z70","1"
"2A53_1","2A53","1"
"2A53_2","2A53","2"
"2ABS_1","2ABS","1"
"2AGK_1","2AGK","1"
"2B3H_1","2B3H","1"
"2BFD_1","2BFD","1"
"2BFD_2","2BFD","2"
"2BK9_1","2BK9","1"
"2D1S_1","2D1S","1"
"2GKR_1","2GKR","1"
"2HOX_1","2HOX","1"
"2I24_1","2I24","1"
"2IQY_1","2IQY","1"
"2O9S_1","2O9S","1"
"2PF8_1","2PF8","1"
"2Q2F_1","2Q2F","1"
"2RC8_1","2RC8","1"
"2UUY_2","2UUY","2"
"2VXT_2","2VXT","2"
"2WFJ_1","2WFJ","1"
"2WQ0_1","2WQ0","1"
"2WZB_1","2WZB","1"
"2XJP_1","2XJP","1"
"2XR6_1","2XR6","1"
"2XU3_1","2XU3","1"
"2XZK_1","2XZK","1"
"2YD6_1","2YD6","1"
"2YEO_1","2YEO","1"
"3AGO_1","3AGO","1"
"3B0G_1","3B0G","1"
"3CZ1_1","3CZ1","1"
"3D1P_1","3D1P","1"
"3DXL_1","3DXL","1"
"3FWK_1","3FWK","1"
"3H7C_1","3H7C","1"
"3HPC_1","3HPC","1"
"3IQU_1","3IQU","1"
"3K6M_1","3K6M","1"
"3KFF_1","3KFF","1"
"3M1X_1","3M1X","1"
"3O8M_1","3O8M","1"
"3OFG_1","3OFG","1"
"3PA6_1","3PA6","1"
"3QVP_1","3QVP","1"
"3R0L_1","3R0L","1"
"3R0L_2","3R0L","2"
"3R0N_1","3R0N","1"
"3RL4_1","3RL4","1"
"3RO3_1","3RO3","1"
"3RO3_2","3RO3","2"
"3UFN_1","3UFN","1"
"3UUE_1","3UUE","1"
"3VIG_1","3VIG","1"
"3VWD_1","3VWD","1"
"3ZNV_1","3ZNV","1"
