Identifier,StructureData,Polymer EntityData,
Entity ID,PDB ID,Entity ID,
"3TJM_1","3TJM","1"
"6HFQ_1","6HFQ","1"
"6LUT_1","6LUT","1"
"4ZZ1_1","4ZZ1","1"
"5Y9Z_1","5Y9Z","1"
"4XZF_2","4XZF","2"
"4WLH_1","4WLH","1"
"7OUZ_1","7OUZ","1"
"8YLA_1","8YLA","1"
"4QHE_1","4QHE","1"
"5ITQ_1","5ITQ","1"
"5LKB_1","5LKB","1"
"5YVN_1","5YVN","1"
"1A4I_1","1A4I","1"
"7COH_1","7COH","1"
"7COH_2","7COH","2"
"7COH_3","7COH","3"
"2BRF_1","2BRF","1"
"4DPZ_1","4DPZ","1"
"5QK0_1","5QK0","1"
"6TN1_1","6TN1","1"
"7LD9_1","7LD9","1"
"7LD9_2","7LD9","2"
"1I2T_1","1I2T","1"
"1N3L_1","1N3L","1"
"1Z2U_1","1Z2U","1"
"2CNQ_1","2CNQ","1"
"2JKU_1","2JKU","1"
"2PIE_1","2PIE","1"
"3ASL_1","3ASL","1"
"3BUX_2","3BUX","2"
"3FDE_1","3FDE","1"
"3GBW_1","3GBW","1"
"3TDU_3","3TDU","3"
"3ZVZ_1","3ZVZ","1"
"4CY3_2","4CY3","2"
"4HY4_1","4HY4","1"
"4J44_1","4J44","1"
"4XEM_1","4XEM","1"
"4YBM_1","4YBM","1"
"5AGI_1","5AGI","1"
"5CQ2_1","5CQ2","1"
"5EWU_1","5EWU","1"
"5FOC_1","5FOC","1"
"5MGW_1","5MGW","1"
"5TDA_1","5TDA","1"
"6HCW_1","6HCW","1"
"6NLQ_1","6NLQ","1"
"6XRU_1","6XRU","1"
"6XRU_2","6XRU","2"
"1K4I_1","1K4I","1"
"1SG4_1","1SG4","1"
"2AGK_1","2AGK","1"
"2CXN_1","2CXN","1"
"2PPN_1","2PPN","1"
"2VXN_1","2VXN","1"
"2WFI_1","2WFI","1"
"2X7K_1","2X7K","1"
"3EY6_1","3EY6","1"
"3I6C_1","3I6C","1"
"3O22_1","3O22","1"
"3UF8_1","3UF8","1"
"3UI4_1","3UI4","1"
"4AL0_1","4AL0","1"
"4H6B_1","4H6B","1"
"4I6X_1","4I6X","1"
"5HDM_1","5HDM","1"
"6B1K_1","6B1K","1"
"6H26_1","6H26","1"
"6ZXT_1","6ZXT","1"
"7AOT_1","7AOT","1"
"7AZ2_2","7AZ2","2"
"7S7J_1","7S7J","1"
"7XPO_1","7XPO","1"
"8BK4_1","8BK4","1"
"8SG0_1","8SG0","1"
"1FX2_1","1FX2","1"
"1GK8_2","1GK8","2"
"1IDP_1","1IDP","1"
"1JL0_1","1JL0","1"
"1JU2_1","1JU2","1"
"1NKG_1","1NKG","1"
"1OF8_1","1OF8","1"
"1WDD_1","1WDD","1"
"1WDD_2","1WDD","2"
"2AKZ_1","2AKZ","1"
"2B69_1","2B69","1"
"2HOX_1","2HOX","1"
"2VK8_1","2VK8","1"
"3BOE_1","3BOE","1"
"3C6X_1","3C6X","1"
"3K34_1","3K34","1"
"3N3M_1","3N3M","1"
"3PIU_1","3PIU","1"
"3W0T_1","3W0T","1"
"4EIV_1","4EIV","1"
"4GMU_1","4GMU","1"
"4H27_1","4H27","1"
"4S28_1","4S28","1"
"4WIL_1","4WIL","1"
"4XXF_1","4XXF","1"
"4ZA9_1","4ZA9","1"
"5B08_1","5B08","1"
"5EKW_1","5EKW","1"
"5NI9_3","5NI9","3"
"5TVO_1","5TVO","1"
"5TVO_2","5TVO","2"
"5W7W_1","5W7W","1"
"6BNZ_1","6BNZ","1"
"6GPK_1","6GPK","1"
"6JQW_1","6JQW","1"
"6LAC_1","6LAC","1"
"6RS4_1","6RS4","1"
"6UQ8_1","6UQ8","1"
"7ESK_1","7ESK","1"
"7MW7_1","7MW7","1"
"7NPP_1","7NPP","1"
"7OEQ_1","7OEQ","1"
"7VB3_1","7VB3","1"
"8H4P_1","8H4P","1"
"8HS0_1","8HS0","1"
"8K07_1","8K07","1"
"1C0P_1","1C0P","1"
"1D4O_1","1D4O","1"
"1DGF_1","1DGF","1"
"1GVE_1","1GVE","1"
"1HDO_1","1HDO","1"
"1JFB_1","1JFB","1"
"1KDG_1","1KDG","1"
"1LC0_1","1LC0","1"
"1MJ4_1","1MJ4","1"
"1N45_1","1N45","1"
"1OAA_1","1OAA","1"
"1ODM_1","1ODM","1"
"1PL4_1","1PL4","1"
"1QV0_1","1QV0","1"
"1RIE_1","1RIE","1"
"1SBY_1","1SBY","1"
"1US0_1","1US0","1"
"1VJU_1","1VJU","1"
"1W7C_1","1W7C","1"
"2BFD_1","2BFD","1"
"2BFD_2","2BFD","2"
"2CIW_1","2CIW","1"
"2D1S_1","2D1S","1"
"2E6F_1","2E6F","1"
"2IBN_1","2IBN","1"
"2IUW_1","2IUW","1"
"2JHF_1","2JHF","1"
"2PSD_1","2PSD","1"
"2V1M_1","2V1M","1"
"2VIM_1","2VIM","1"
"2X9G_1","2X9G","1"
"2XHF_1","2XHF","1"
"3B0G_1","3B0G","1"
"3BB0_1","3BB0","1"
"3DK9_1","3DK9","1"
"3E2O_1","3E2O","1"
"3FPC_1","3FPC","1"
"3FW9_1","3FW9","1"
"3L4N_1","3L4N","1"
"3L8W_1","3L8W","1"
"3LO8_1","3LO8","1"
"3M5Q_1","3M5Q","1"
"3MAO_1","3MAO","1"
"3PL8_1","3PL8","1"
"3QFS_1","3QFS","1"
"3QVP_1","3QVP","1"
"3SXX_1","3SXX","1"
"3T3L_1","3T3L","1"
"3U5S_1","3U5S","1"
"3W5H_1","3W5H","1"
"4A7U_1","4A7U","1"
"4AUM_1","4AUM","1"
"4FGL_1","4FGL","1"
"4GBU_1","4GBU","1"
"4GJZ_1","4GJZ","1"
"4GWG_1","4GWG","1"
"4HSX_1","4HSX","1"
"4MAI_1","4MAI","1"
"4MZC_1","4MZC","1"
"4OQV_1","4OQV","1"
"4PLZ_1","4PLZ","1"
"4PQ6_1","4PQ6","1"
"4QKD_1","4QKD","1"
"4RNX_1","4RNX","1"
"4UP3_1","4UP3","1"
